Difficulty,Config,Time_median,Time_mean,Time_std,Time_min,Time_max,Cost_mean,Agg_Speedup,Agg_Efficiency,Speedup_mean,Efficiency_mean
Easy,Serial,0.002797,0.027828,0.107908,0.000115,0.817744,0.027828,1.000000,1.000000,1.000000,1.000000
Easy,Serial-MRV,0.003585,0.003770,0.001348,0.001511,0.008054,0.003770,1.000000,1.000000,1.000000,1.000000
Easy,OpenMP-4,0.004206,0.004213,0.001217,0.002361,0.008217,0.016851,3.750239,0.937560,3.208564,0.802141
Easy,OpenMP-8,0.004324,0.004285,0.001224,0.002379,0.008193,0.034277,3.687461,0.460933,3.168232,0.396029
Easy,OpenMP-16,0.004425,0.004374,0.001233,0.002409,0.008291,0.069984,3.612066,0.225754,3.127630,0.195477
Easy,OMP-Frontier-4,0.006309,0.006284,0.001775,0.003448,0.012004,0.025136,0.600013,0.150003,0.606879,0.151720
Easy,OMP-Frontier-8,0.006238,0.006267,0.001766,0.003458,0.012290,0.050136,0.601633,0.075204,0.607575,0.075947
Easy,OMP-Frontier-16,0.006474,0.006415,0.001828,0.003520,0.012354,0.102643,0.587733,0.036733,0.594899,0.037181
Easy,DLX,0.000270,0.000242,0.000055,0.000112,0.000294,0.000242,1.000000,1.000000,1.000000,1.000000
Easy,DLX-OMP-4,0.000510,0.000485,0.000074,0.000302,0.000709,0.001939,0.498692,0.124673,0.495751,0.123938
Easy,DLX-OMP-8,0.000548,0.000569,0.000137,0.000395,0.001491,0.004549,0.425038,0.053130,0.429299,0.053662
Easy,DLX-OMP-16,0.000644,0.000643,0.000151,0.000398,0.001124,0.010290,0.375829,0.023489,0.387304,0.024207
Medium,Serial,0.026572,0.043822,0.057783,0.000874,0.400946,0.043822,1.000000,1.000000,1.000000,1.000000
Medium,Serial-MRV,0.023087,0.024519,0.010709,0.008767,0.072934,0.024519,1.000000,1.000000,1.000000,1.000000
Medium,OpenMP-4,0.017621,0.019916,0.012564,0.004314,0.058871,0.079666,1.715696,0.428924,2.731706,0.682926
Medium,OpenMP-8,0.017991,0.020035,0.012570,0.004288,0.058863,0.160281,1.705526,0.213191,2.720325,0.340041
Medium,OpenMP-16,0.017714,0.020088,0.012589,0.004449,0.059110,0.321400,1.701080,0.106317,2.671250,0.166953
Medium,OMP-Frontier-4,0.031808,0.035218,0.023707,0.006580,0.139640,0.140871,0.696196,0.174049,1.078181,0.269545
Medium,OMP-Frontier-8,0.030278,0.033792,0.022287,0.006468,0.139677,0.270338,0.725566,0.090696,1.089942,0.136243
Medium,OMP-Frontier-16,0.031766,0.035151,0.023952,0.006540,0.139926,0.562417,0.697518,0.043595,1.066263,0.066641
Medium,DLX,0.000166,0.000190,0.000050,0.000113,0.000356,0.000190,1.000000,1.000000,1.000000,1.000000
Medium,DLX-OMP-4,0.000412,0.000415,0.000077,0.000300,0.000615,0.001661,0.456717,0.114179,0.458891,0.114723
Medium,DLX-OMP-8,0.000502,0.000507,0.000093,0.000295,0.000768,0.004059,0.373800,0.046725,0.376764,0.047096
Medium,DLX-OMP-16,0.000610,0.000644,0.000185,0.000411,0.001343,0.010300,0.294574,0.018411,0.310610,0.019413
Hard,Serial,0.049229,0.111926,0.413974,0.005498,4.157227,0.111926,1.000000,1.000000,1.000000,1.000000
Hard,Serial-MRV,0.066629,0.080867,0.038609,0.035737,0.243886,0.080867,1.000000,1.000000,1.000000,1.000000
Hard,OpenMP-4,0.031214,0.043997,0.040229,0.002792,0.196613,0.175986,2.191001,0.547750,10.142983,2.535746
Hard,OpenMP-8,0.024408,0.040436,0.040457,0.004249,0.181721,0.323491,2.383910,0.297989,7.783107,0.972888
Hard,OpenMP-16,0.025314,0.041156,0.041648,0.004529,0.196822,0.658500,2.342210,0.146388,7.879015,0.492438
Hard,OMP-Frontier-4,0.046931,0.066208,0.061632,0.004062,0.416032,0.264832,1.221410,0.305352,2.409249,0.602312
Hard,OMP-Frontier-8,0.056188,0.070540,0.063865,0.006398,0.421261,0.564321,1.146396,0.143300,2.258688,0.282336
Hard,OMP-Frontier-16,0.056559,0.073558,0.061963,0.006441,0.297488,1.176933,1.099359,0.068710,2.195609,0.137226
Hard,DLX,0.000177,0.000193,0.000061,0.000115,0.000474,0.000193,1.000000,1.000000,1.000000,1.000000
Hard,DLX-OMP-4,0.000424,0.000457,0.000138,0.000273,0.001020,0.001829,0.421884,0.105471,0.439708,0.109927
Hard,DLX-OMP-8,0.000531,0.000547,0.000139,0.000299,0.001101,0.004379,0.352498,0.044062,0.358547,0.044818
Hard,DLX-OMP-16,0.000670,0.000728,0.000203,0.000414,0.001338,0.011647,0.265082,0.016568,0.274843,0.017178
Extreme,Serial,0.149732,0.308424,0.630533,0.009021,5.575112,0.308424,1.000000,1.000000,1.000000,1.000000
Extreme,Serial-MRV,0.249833,0.285490,0.104589,0.171085,0.640861,0.285490,1.000000,1.000000,1.000000,1.000000
Extreme,OpenMP-4,0.081732,0.111898,0.100683,0.003984,0.582430,0.447591,2.653824,0.663456,6.196170,1.549042
Extreme,OpenMP-8,0.068133,0.096643,0.104686,0.003571,0.558168,0.773143,3.072725,0.384091,9.326674,1.165834
Extreme,OpenMP-16,0.074464,0.105637,0.109650,0.004951,0.579390,1.690191,2.811110,0.175694,8.173664,0.510854
Extreme,OMP-Frontier-4,0.150218,0.185299,0.150364,0.004787,0.577903,0.741197,1.540696,0.385174,5.508456,1.377114
Extreme,OMP-Frontier-8,0.163854,0.200781,0.156860,0.006833,0.564547,1.606251,1.421893,0.177737,5.108115,0.638514
Extreme,OMP-Frontier-16,0.183155,0.208903,0.162545,0.007704,0.760649,3.342450,1.366613,0.085413,4.744948,0.296559
Extreme,DLX,0.000150,0.000183,0.000090,0.000115,0.000611,0.000183,1.000000,1.000000,1.000000,1.000000
Extreme,DLX-OMP-4,0.000505,0.000527,0.000201,0.000245,0.001476,0.002108,0.347072,0.086768,0.357999,0.089500
Extreme,DLX-OMP-8,0.000595,0.000649,0.000212,0.000263,0.001478,0.005191,0.281883,0.035235,0.286149,0.035769
Extreme,DLX-OMP-16,0.000712,0.000769,0.000285,0.000353,0.001884,0.012300,0.237942,0.014871,0.242608,0.015163
