Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_001,Easy,Serial,1,1,0.016493010,1
easy_001,Easy,Serial,1,2,0.016420836,1
easy_001,Easy,Serial,1,3,0.016440112,1
easy_001,Easy,Serial,1,4,0.016424017,1
easy_001,Easy,Serial,1,5,0.016438254,1
easy_001,Easy,Serial-MRV,1,1,0.003875012,1
easy_001,Easy,Serial-MRV,1,2,0.003894235,1
easy_001,Easy,Serial-MRV,1,3,0.003877105,1
easy_001,Easy,Serial-MRV,1,4,0.003893434,1
easy_001,Easy,Serial-MRV,1,5,0.003873130,1
easy_001,Easy,DLX,1,1,0.000452128,1
easy_001,Easy,DLX,1,2,0.000283427,1
easy_001,Easy,DLX,1,3,0.000280581,1
easy_001,Easy,DLX,1,4,0.000278691,1
easy_001,Easy,DLX,1,5,0.000283854,1
easy_001,Easy,DLX-OMP,4,1,0.001772639,1
easy_001,Easy,DLX-OMP,4,2,0.000497344,1
easy_001,Easy,DLX-OMP,4,3,0.001448218,1
easy_001,Easy,DLX-OMP,4,4,0.000547699,1
easy_001,Easy,DLX-OMP,4,5,0.000708815,1
easy_001,Easy,DLX-OMP,8,1,0.001617973,1
easy_001,Easy,DLX-OMP,8,2,0.001490557,1
easy_001,Easy,DLX-OMP,8,3,0.000530846,1
easy_001,Easy,DLX-OMP,8,4,0.000520427,1
easy_001,Easy,DLX-OMP,8,5,0.001506342,1
easy_001,Easy,DLX-OMP,16,1,0.002622537,1
easy_001,Easy,DLX-OMP,16,2,0.000782510,1
easy_001,Easy,DLX-OMP,16,3,0.000564815,1
easy_001,Easy,DLX-OMP,16,4,0.000531434,1
easy_001,Easy,DLX-OMP,16,5,0.000577473,1
easy_001,Easy,OMP-Frontier,4,1,0.006184971,1
easy_001,Easy,OMP-Frontier,4,2,0.005931933,1
easy_001,Easy,OMP-Frontier,4,3,0.005923799,1
easy_001,Easy,OMP-Frontier,4,4,0.005916792,1
easy_001,Easy,OMP-Frontier,4,5,0.005916975,1
easy_001,Easy,OMP-Frontier,8,1,0.006058392,1
easy_001,Easy,OMP-Frontier,8,2,0.005970890,1
easy_001,Easy,OMP-Frontier,8,3,0.005970456,1
easy_001,Easy,OMP-Frontier,8,4,0.005970203,1
easy_001,Easy,OMP-Frontier,8,5,0.005965795,1
easy_001,Easy,OMP-Frontier,16,1,0.006409730,1
easy_001,Easy,OMP-Frontier,16,2,0.006121447,1
easy_001,Easy,OMP-Frontier,16,3,0.006051470,1
easy_001,Easy,OMP-Frontier,16,4,0.006052525,1
easy_001,Easy,OMP-Frontier,16,5,0.006179765,1
easy_001,Easy,OpenMP,4,1,0.004102909,1
easy_001,Easy,OpenMP,4,2,0.003942340,1
easy_001,Easy,OpenMP,4,3,0.003945566,1
easy_001,Easy,OpenMP,4,4,0.003956880,1
easy_001,Easy,OpenMP,4,5,0.004259699,1
easy_001,Easy,OpenMP,8,1,0.004115706,1
easy_001,Easy,OpenMP,8,2,0.003934648,1
easy_001,Easy,OpenMP,8,3,0.004001324,1
easy_001,Easy,OpenMP,8,4,0.003996161,1
easy_001,Easy,OpenMP,8,5,0.003991466,1
easy_001,Easy,OpenMP,16,1,0.004432072,1
easy_001,Easy,OpenMP,16,2,0.004128838,1
easy_001,Easy,OpenMP,16,3,0.004092156,1
easy_001,Easy,OpenMP,16,4,0.004122658,1
easy_001,Easy,OpenMP,16,5,0.004015167,1
easy_002,Easy,Serial,1,1,0.009135586,1
easy_002,Easy,Serial,1,2,0.009001678,1
easy_002,Easy,Serial,1,3,0.008998247,1
easy_002,Easy,Serial,1,4,0.009007054,1
easy_002,Easy,Serial,1,5,0.009005986,1
easy_002,Easy,Serial-MRV,1,1,0.004185467,1
easy_002,Easy,Serial-MRV,1,2,0.004185186,1
easy_002,Easy,Serial-MRV,1,3,0.004200628,1
easy_002,Easy,Serial-MRV,1,4,0.004180661,1
easy_002,Easy,Serial-MRV,1,5,0.004211026,1
easy_002,Easy,DLX,1,1,0.000291707,1
easy_002,Easy,DLX,1,2,0.000285416,1
easy_002,Easy,DLX,1,3,0.000289888,1
easy_002,Easy,DLX,1,4,0.000280998,1
easy_002,Easy,DLX,1,5,0.000281859,1
easy_002,Easy,DLX-OMP,4,1,0.000626089,1
easy_002,Easy,DLX-OMP,4,2,0.000535321,1
easy_002,Easy,DLX-OMP,4,3,0.000506561,1
easy_002,Easy,DLX-OMP,4,4,0.000518805,1
easy_002,Easy,DLX-OMP,4,5,0.000509105,1
easy_002,Easy,DLX-OMP,8,1,0.000611178,1
easy_002,Easy,DLX-OMP,8,2,0.000500631,1
easy_002,Easy,DLX-OMP,8,3,0.000525877,1
easy_002,Easy,DLX-OMP,8,4,0.000683569,1
easy_002,Easy,DLX-OMP,8,5,0.000503641,1
easy_002,Easy,DLX-OMP,16,1,0.001818822,1
easy_002,Easy,DLX-OMP,16,2,0.000711465,1
easy_002,Easy,DLX-OMP,16,3,0.001494982,1
easy_002,Easy,DLX-OMP,16,4,0.000543220,1
easy_002,Easy,DLX-OMP,16,5,0.000505510,1
easy_002,Easy,OMP-Frontier,4,1,0.006997656,1
easy_002,Easy,OMP-Frontier,4,2,0.006188630,1
easy_002,Easy,OMP-Frontier,4,3,0.006280813,1
easy_002,Easy,OMP-Frontier,4,4,0.006148266,1
easy_002,Easy,OMP-Frontier,4,5,0.006141452,1
easy_002,Easy,OMP-Frontier,8,1,0.003752803,1
easy_002,Easy,OMP-Frontier,8,2,0.006201779,1
easy_002,Easy,OMP-Frontier,8,3,0.006196462,1
easy_002,Easy,OMP-Frontier,8,4,0.006200953,1
easy_002,Easy,OMP-Frontier,8,5,0.006198734,1
easy_002,Easy,OMP-Frontier,16,1,0.006546432,1
easy_002,Easy,OMP-Frontier,16,2,0.003936355,1
easy_002,Easy,OMP-Frontier,16,3,0.006294417,1
easy_002,Easy,OMP-Frontier,16,4,0.007241087,1
easy_002,Easy,OMP-Frontier,16,5,0.006477207,1
easy_002,Easy,OpenMP,4,1,0.004366017,1
easy_002,Easy,OpenMP,4,2,0.004167858,1
easy_002,Easy,OpenMP,4,3,0.004216079,1
easy_002,Easy,OpenMP,4,4,0.004199116,1
easy_002,Easy,OpenMP,4,5,0.004197477,1
easy_002,Easy,OpenMP,8,1,0.004346970,1
easy_002,Easy,OpenMP,8,2,0.004227284,1
easy_002,Easy,OpenMP,8,3,0.002549817,1
easy_002,Easy,OpenMP,8,4,0.004718414,1
easy_002,Easy,OpenMP,8,5,0.004290588,1
easy_002,Easy,OpenMP,16,1,0.005058354,1
easy_002,Easy,OpenMP,16,2,0.004423919,1
easy_002,Easy,OpenMP,16,3,0.004367824,1
easy_002,Easy,OpenMP,16,4,0.004419581,1
easy_002,Easy,OpenMP,16,5,0.004364484,1
easy_003,Easy,Serial,1,1,0.078047052,1
easy_003,Easy,Serial,1,2,0.078233104,1
easy_003,Easy,Serial,1,3,0.078317982,1
easy_003,Easy,Serial,1,4,0.063872443,1
easy_003,Easy,Serial,1,5,0.044280107,1
easy_003,Easy,Serial-MRV,1,1,0.004595943,1
easy_003,Easy,Serial-MRV,1,2,0.006231892,1
easy_003,Easy,Serial-MRV,1,3,0.006230830,1
easy_003,Easy,Serial-MRV,1,4,0.006168118,1
easy_003,Easy,Serial-MRV,1,5,0.006191018,1
easy_003,Easy,DLX,1,1,0.000313095,1
easy_003,Easy,DLX,1,2,0.000284258,1
easy_003,Easy,DLX,1,3,0.000291700,1
easy_003,Easy,DLX,1,4,0.000282703,1
easy_003,Easy,DLX,1,5,0.000282319,1
easy_003,Easy,DLX-OMP,4,1,0.000631309,1
easy_003,Easy,DLX-OMP,4,2,0.000589023,1
easy_003,Easy,DLX-OMP,4,3,0.000572605,1
easy_003,Easy,DLX-OMP,4,4,0.000510472,1
easy_003,Easy,DLX-OMP,4,5,0.000503260,1
easy_003,Easy,DLX-OMP,8,1,0.000602112,1
easy_003,Easy,DLX-OMP,8,2,0.000700479,1
easy_003,Easy,DLX-OMP,8,3,0.000678070,1
easy_003,Easy,DLX-OMP,8,4,0.000687927,1
easy_003,Easy,DLX-OMP,8,5,0.000556292,1
easy_003,Easy,DLX-OMP,16,1,0.000863089,1
easy_003,Easy,DLX-OMP,16,2,0.000559793,1
easy_003,Easy,DLX-OMP,16,3,0.001437769,1
easy_003,Easy,DLX-OMP,16,4,0.000552444,1
easy_003,Easy,DLX-OMP,16,5,0.000585352,1
easy_003,Easy,OMP-Frontier,4,1,0.010661747,1
easy_003,Easy,OMP-Frontier,4,2,0.010187303,1
easy_003,Easy,OMP-Frontier,4,3,0.009936570,1
easy_003,Easy,OMP-Frontier,4,4,0.010242216,1
easy_003,Easy,OMP-Frontier,4,5,0.010223004,1
easy_003,Easy,OMP-Frontier,8,1,0.009956293,1
easy_003,Easy,OMP-Frontier,8,2,0.009827765,1
easy_003,Easy,OMP-Frontier,8,3,0.009831539,1
easy_003,Easy,OMP-Frontier,8,4,0.010158610,1
easy_003,Easy,OMP-Frontier,8,5,0.009788814,1
easy_003,Easy,OMP-Frontier,16,1,0.010680759,1
